,x1,x2
123,7.6968,-10.3
219,5.036,-12.319
167,2.7597,-7.0165
183,3.7862,-10.797
181,5.6208,-11.027
388,7.1617,-13.599
362,4.307,-10.872
326,7.1825,-11.401
197,7.8828,-14.221
301,1.8135,-8.2845
234,3.2227,-10.434
284,6.3682,-8.8789
276,6.7566,-8.281
188,7.6342,-11.917
263,6.1891,-12.427
349,4.5012,-13.298
180,7.6777,-12.137
196,6.1327,-11.814
309,5.1271,-10.29
88,6.4972,-14.041
194,4.6618,-12.392
491,6.6033,-11.796
161,6.2507,-12.074
55,7.44,-11.287
421,4.8613,-13.973
457,5.9357,-13.055
335,7.2904,-12.284
456,4.8766,-12.332
291,6.2984,-11.147
286,6.3216,-10.639
168,6.6414,-13.522
256,3.5452,-10.509
6,3.2406,-11.884
479,6.625,-16.106
448,6.419,-14.689
327,4.732,-13.258
14,2.074,-6.74
446,5.7617,-13.485
184,6.0201,-10.953
471,2.1757,-8.6404
79,8.9374,-16.642
334,5.7484,-10.519
117,5.2025,-11.72
458,9.7905,-13.845
155,3.755,-13.432
11,6.5165,-14.768
159,5.8258,-8.3471
209,6.8719,-14.308
179,5.6734,-11.71
26,7.6031,-12.087
325,5.7981,-13.298
361,7.7365,-11.527
445,5.6237,-8.5299
426,6.0367,-10.879
415,8.3741,-15.54
416,4.5526,-9.6639
266,5.1584,-14.359
126,3.4943,-8.5513
452,6.6925,-13.885
272,4.5632,-14.424
431,2.8756,-10.398
377,4.9368,-9.1049
487,4.0407,-9.5961
358,1.6953,-10.955
150,5.1101,-7.4703
243,8.2838,-9.9657
132,9.3493,-13.789
52,4.7635,-11.878
75,6.3707,-15.996
0,7.4914,-12.555
17,7.6806,-11.651
212,6.3217,-11.679
41,6.321,-10.884
85,8.5403,-14.968
96,6.8345,-12.862
430,7.9833,-13.408
454,4.9205,-10.219
307,4.7469,-13.634
305,5.9165,-13.235
398,7.7635,-12.093
420,6.5006,-11.273
262,7.382,-13.709
102,7.7519,-13.712
186,3.9207,-8.1471
264,5.573,-12.377
347,7.4857,-9.4999
176,3.1795,-11.614
187,3.9872,-7.2906
390,5.2922,-11.578
22,8.8368,-12.819
151,5.2049,-13.549
70,5.7825,-13.132
146,5.402,-11.791
318,5.306,-9.7091
34,8.3664,-12.428
231,2.4617,-10.781
15,7.2804,-13.901
61,1.98,-8.9271
50,8.6833,-17.049
489,4.3311,-12.744
310,5.4186,-11.923
315,3.2803,-8.6168
220,6.7413,-13.519
254,5.4482,-10.578
19,4.8446,-13.875
190,4.9961,-10.291
122,5.8141,-10.456
302,7.16,-11.98
395,6.3624,-8.9691
269,8.0327,-12.314
67,5.6674,-12.4
173,6.6158,-9.759
170,6.0304,-12.341
290,6.3318,-12.702
73,6.7565,-13.14
142,5.0449,-9.9851
260,7.6419,-11.753
435,5.3203,-11.686
298,8.2676,-12.691
24,3.2819,-12.202
195,5.1505,-13.9
47,7.1703,-13.532
329,4.7724,-12.665
494,7.7199,-15.997
36,7.9551,-12.401
279,5.8969,-13.361
164,4.5514,-13.249
82,3.564,-11.251
226,4.5885,-11.793
229,6.9961,-12.859
156,3.1329,-7.5181
116,5.9782,-13.856
422,6.422,-11.873
450,5.5455,-17.056
293,7.1456,-12.716
149,4.6037,-12.774
95,5.6568,-14.237
84,3.8204,-14.423
281,6.7057,-14.912
134,6.5499,-12.129
44,5.9196,-15.752
3,5.3682,-10.797
355,9.1484,-16.105
271,5.8367,-13.877
424,7.3344,-14.776
141,5.1917,-8.8374
35,6.3785,-10.869
137,7.2899,-12.837
86,6.8939,-10.636
157,7.4478,-12.346
242,6.2967,-9.0523
51,11.576,-17.115
441,9.5592,-15.181
274,7.3686,-11.578
306,7.8919,-13.058
477,7.0692,-13.727
342,2.5571,-12.464
414,6.7565,-13.5
147,5.5417,-14.483
474,7.0393,-11.514
440,7.1745,-7.9963
43,4.6104,-8.2296
365,4.7869,-12.197
498,3.9162,-13.166
224,8.8811,-13.142
287,5.214,-10.187
232,3.5471,-11.749
143,6.4043,-10.671
221,3.8517,-11.935
405,5.4263,-13.477
191,7.2582,-12.49
340,4.5394,-9.3957
40,4.0978,-11.521
128,3.4808,-12.675
16,5.8773,-11.781
300,4.0427,-10.517
120,7.8928,-10.367
380,5.5149,-8.5802
396,5.9308,-14.962
345,7.5792,-11.259
407,5.8759,-13.22
8,6.4358,-13.428
408,6.6099,-10.917
437,8.0499,-15.021
366,6.3962,-10.285
476,8.8217,-11.537
481,8.3001,-13.035
30,5.5251,-14.344
341,7.6535,-15.098
381,8.0939,-12.079
121,3.7863,-6.9056
163,6.522,-14.969
98,4.528,-11.409
42,4.2621,-11.932
131,3.9911,-12.939
246,9.4542,-9.5859
478,8.7088,-10.479
145,6.9902,-16.318
410,8.0198,-12.415
275,8.4489,-13.6
371,7.9865,-17.295
118,1.7106,-11.31
127,7.2966,-11.527
105,3.6554,-14.022
125,8.9935,-13.601
336,6.4881,-9.4469
110,7.7527,-11.385
316,6.1025,-12.067
152,8.3525,-14.08
4,6.9905,-11.018
210,7.0153,-14.448
48,3.8244,-9.9302
311,5.6361,-12.003
322,6.0244,-7.3423
56,6.4325,-14.483
453,9.7989,-13.2
292,6.4649,-10.545
138,9.4536,-12.211
124,7.3257,-13.37
432,7.0371,-15.285
411,7.0381,-14.725
248,5.4017,-12.052
247,8.3265,-17.17
359,5.8778,-11.35
71,9.7509,-12.452
238,9.1162,-12.178
112,6.4269,-9.3785
119,7.4085,-12.264
319,7.4509,-15.037
317,7.8333,-14.459
37,6.2125,-10.614
53,8.8046,-12.11
356,5.8128,-11.998
12,5.0164,-12.518
382,6.1017,-10.609
66,4.9995,-7.4703
228,6.5678,-10.387
283,6.8709,-12.8
241,6.7226,-11.374
360,3.4337,-11.937
21,8.7802,-11.823
459,9.7796,-16.573
154,8.3084,-10.468
402,7.4747,-12.222
401,5.8133,-13.429
268,4.7091,-10.853
129,9.2669,-12.908
314,3.9749,-7.6151
69,4.8195,-11.056
404,5.3261,-11.252
108,3.548,-12.098
383,3.3961,-8.6336
32,8.6771,-11.313
436,5.6477,-9.1176
153,5.7358,-12.102
169,8.2903,-13.228
492,7.8529,-15.671
350,5.6458,-11.027
406,5.0281,-13.237
158,4.3783,-9.0109
133,6.6562,-15.421
320,5.6379,-15.621
63,3.9062,-8.185
93,4.2469,-10.012
235,5.648,-13.49
76,4.4056,-11.537
438,5.5112,-10.69
343,5.1086,-13.529
425,6.5765,-8.4335
463,4.7041,-12.265
352,6.2749,-12.661
351,2.7084,-9.359
367,4.7502,-13.015
113,7.3199,-12.702
257,6.7166,-8.6467
217,7.4379,-12.66
39,5.019,-12.188
493,4.0426,-10.882
330,5.9303,-12.765
18,5.5283,-11.067
60,2.9338,-12.105
23,6.3151,-14.971
198,4.8509,-12.21
65,9.0489,-14.237
294,5.1318,-11.0
451,5.989,-13.256
250,4.8595,-10.257
230,8.3043,-13.082
386,9.952,-14.878
38,4.5398,-11.28
227,6.1875,-12.797
175,6.4626,-11.809
233,1.9946,-9.996
400,5.9002,-14.079
91,4.4606,-8.8505
92,5.4193,-12.114
54,7.9551,-10.414
324,7.3735,-11.335
109,6.4166,-11.271
308,5.9382,-14.623
273,5.476,-11.337
299,4.6047,-10.232
375,6.2438,-15.248
172,3.07,-10.915
496,5.8822,-8.8714
101,9.6109,-13.817
370,5.2658,-14.814
497,5.8921,-13.615
332,4.2519,-10.203
78,9.4362,-13.952
74,6.2695,-9.4253
277,9.3137,-15.447
449,8.6299,-13.413
205,7.7446,-14.091
368,4.5846,-14.989
97,5.7056,-10.034
225,6.3452,-8.9527
384,5.8013,-10.868
162,5.7007,-10.505
189,7.3654,-10.513
25,6.0412,-12.549
338,5.0812,-10.618
2,2.9821,-12.015
199,6.9089,-14.589
419,6.9167,-12.69
218,6.3543,-14.487
282,7.9603,-14.101
344,7.3343,-12.435
490,5.6532,-11.87
148,8.0828,-15.312
429,6.5098,-10.7
385,5.1145,-14.775
488,4.3649,-11.26
178,3.6663,-9.5004
261,7.6591,-15.094
160,5.4505,-12.83
394,7.4409,-16.34
83,4.6046,-13.656
470,4.4418,-12.344
201,3.8631,-12.311
378,4.36,-10.254
103,6.1878,-13.779
115,4.6026,-13.604
323,6.4071,-10.712
464,7.9715,-15.329
140,4.8516,-11.715
392,6.1008,-10.807
337,5.5309,-12.337
94,4.3614,-9.4848
443,3.8936,-9.9537
