,x1,x2
0,-2.4248,-0.79712
2,-3.1441,-3.1124
3,-1.985,5.7098
9,0.91677,-2.3395
10,-2.8112,-0.75651
13,-3.3067,-0.048739
16,-0.27667,1.2236
29,1.0261,0.54259
36,-0.17853,-4.4106
38,-0.24971,0.099057
39,-0.82127,3.4704
42,-0.46816,1.37
50,-1.6667,2.6724
56,-1.8806,-2.1531
59,-0.2258,1.4604
70,-0.34239,0.028686
73,-2.3955,2.8089
80,-3.3876,-1.3647
84,-0.30402,2.5535
87,-0.60218,0.13137
88,-0.35886,0.23339
90,-2.8126,5.0278
92,0.1717,4.7913
93,1.4768,2.4942
97,0.72031,6.4101
99,-0.15251,3.1433
101,0.21042,2.2556
103,-3.3125,3.8326
105,-1.6416,0.087816
107,0.28223,6.5076
111,-1.7622,4.1546
116,-1.27,-2.2996
120,-1.6271,-0.83232
127,-4.3943,-5.3013
128,-2.3061,0.10228
130,-0.28658,1.8491
131,1.9307,3.9468
138,-2.9862,-0.13891
140,-1.6121,3.6225
142,-0.071485,3.3826
143,-2.5232,2.5192
147,-0.66942,6.2782
153,-1.8295,1.1244
155,-1.9677,-3.9184
160,-1.7222,-2.8389
163,-1.626,5.5972
168,-0.67077,-0.17127
170,-0.30788,2.0172
175,0.82766,-0.41987
179,-1.0665,4.9273
180,0.30742,1.2562
185,-1.1788,0.3397
186,-2.1555,0.086596
192,-3.5351,-1.2619
195,-1.9405,-3.2799
196,0.25323,3.47
197,0.34285,3.8497
202,-3.5996,-2.3162
203,-2.1115,0.63113
204,-0.37237,6.1048
209,-0.32298,-0.11614
210,0.60807,2.0983
214,-2.1632,1.2859
215,-0.91708,2.2628
221,-0.74267,-1.3586
223,0.047202,3.0826
227,-2.003,4.6748
234,-2.8314,2.3349
238,-4.1128,2.7892
241,-1.1877,3.8544
244,1.1066,4.249
245,0.066211,2.0722
246,-0.52514,7.898
248,-1.2643,-3.2443
249,-2.4349,1.9608
250,-2.9994,1.3534
256,-0.27943,0.3611
257,0.049373,-1.7442
267,-1.2379,5.433
271,-0.71891,2.2819
272,0.26746,1.927
273,0.081843,3.6395
274,1.0403,5.2364
277,-1.768,6.2196
278,2.6535,3.3781
280,1.1504,-0.074975
282,-1.5262,3.6789
286,-1.278,0.48695
289,-0.58258,4.8756
292,-1.3279,3.8483
295,-1.2373,1.7048
296,-0.98782,-4.662
297,-0.062815,-0.89673
298,-3.2693,-0.026734
299,1.0001,7.9433
300,-0.61742,4.8601
311,-0.090697,0.76907
313,-2.1726,2.6868
314,-3.0798,0.53902
316,-0.29915,-4.1367
332,-1.3453,3.2964
334,0.088092,1.2895
335,0.082187,3.1061
336,1.5071,2.1563
337,-1.8333,-0.91729
340,0.7761,4.3067
342,-1.4165,7.1936
343,-5.2592,-4.3115
347,-0.36364,5.4632
351,-0.37289,0.5644
352,-2.4714,-0.27166
353,-0.99429,-0.029393
356,-2.5619,5.0448
357,1.678,4.9948
362,-0.21956,1.2381
365,-2.095,1.9012
368,-0.7561,1.8259
375,-0.20453,-1.6416
376,-2.1269,-2.8701
379,-1.7402,0.99648
384,-1.3034,5.6386
387,-3.2614,-1.4389
395,0.37603,2.4468
398,0.67208,5.2585
400,-0.26324,5.6286
401,-1.287,-1.5205
409,-1.2451,4.3873
412,-0.9852,2.5648
416,-1.3866,4.1966
418,-1.1926,1.2477
424,-2.8479,3.5197
426,1.5686,9.1112
430,0.84603,0.12111
431,-1.5392,-0.18219
433,0.41613,4.7156
434,-1.2809,-0.24522
436,-0.52488,4.4826
442,1.5934,4.2642
466,-3.8773,-0.89063
467,0.64132,9.1265
476,0.99128,5.2201
477,-1.4208,-5.3157
479,-0.8478,-0.37636
480,0.39741,3.951
481,0.88247,6.6194
483,0.28398,2.844
493,0.47872,5.8541
495,0.29237,-0.13298
496,-2.8222,-5.2253
497,-2.8164,2.23
