,x1,x2,Class
0,-0.380352,-0.390977,1
1,-0.41668,0.214674,1
2,-0.974757,0.263573,1
3,-1.129312,-0.387884,1
4,1.054486,-0.333915,1
5,-0.867611,-0.226268,1
6,0.619771,0.025771,1
7,-0.996005,0.654919,1
8,0.456408,-0.93646,1
9,-0.475795,0.703921,1
10,0.942539,-0.065533,1
11,-0.420138,0.606288,1
12,0.035121,-0.637674,1
13,0.321086,0.870754,1
14,0.748663,-0.719158,1
15,-0.490811,0.860318,1
16,1.040494,0.154433,1
17,-0.167861,-0.48382,1
18,0.426465,0.997589,1
19,0.436795,0.104234,1
20,-0.465864,0.067546,1
21,-0.546006,-0.868762,1
22,0.622312,0.284414,1
23,0.509688,0.881505,1
24,0.620563,0.22835,1
25,0.373965,0.585739,1
26,0.85725,-0.671118,1
27,1.060398,-0.380307,1
28,-0.550574,-0.610252,1
29,0.854626,-0.17233,1
30,-0.034135,-0.018311,1
31,0.655937,0.858635,1
32,0.638324,0.030895,1
33,0.222787,-0.414236,1
34,-0.755385,-0.648495,1
35,1.106918,0.238327,1
36,-0.590759,-0.564941,1
37,-0.94863,-0.693034,1
38,-1.022122,-0.395484,1
39,0.163433,0.263014,1
40,0.564339,0.992619,1
41,0.155052,0.580078,1
42,-0.580772,-0.17694,1
43,0.484564,-0.434955,1
44,1.080483,-0.306667,1
45,0.635704,-0.563401,1
46,-0.980787,0.12691,1
47,-0.919411,0.649461,1
48,-0.753007,-0.195943,1
49,0.011188,-0.489718,1
50,-0.333126,0.620329,1
51,0.455174,-0.518463,1
52,-0.00594,0.961309,1
53,-0.503314,-0.527291,1
54,0.703687,0.526678,1
55,1.016092,-0.557092,1
56,0.056623,0.269662,1
57,-0.493889,0.336316,1
58,0.206158,-0.064831,1
59,0.796905,-0.646065,1
60,0.796853,0.107234,1
61,0.242114,-1.088646,1
62,0.161436,-1.078477,1
63,-0.786555,0.448116,1
64,0.798472,-0.755166,1
65,0.001304,0.281834,1
66,-0.133434,0.043841,1
67,0.589138,-0.572047,1
68,0.941217,0.131224,1
69,0.093949,0.874907,1
70,-0.518883,-0.343309,1
71,-0.396081,0.440444,1
72,-0.404931,-0.893242,1
73,-0.449959,-1.003387,1
74,-0.143215,1.073138,1
75,-0.337558,0.612475,1
76,0.525389,-0.232919,1
77,-0.092153,-0.713471,1
78,0.614304,-0.225856,1
79,-1.149714,0.126845,1
80,0.301934,-0.229059,1
81,-0.714834,0.865406,1
82,-0.5355,0.411802,1
83,-0.53908,-0.729739,1
84,0.004133,1.113172,1
85,-0.368599,1.034293,1
86,0.273292,0.855253,1
87,0.02124,0.731093,1
88,0.746092,-0.637535,1
89,-0.060388,0.475824,1
90,0.74211,-0.629121,1
91,-0.349794,0.035115,1
92,-0.957372,0.458524,1
93,-0.39017,0.33843,1
94,0.363268,-1.053361,1
95,0.058704,0.224547,1
96,0.89195,-0.375584,1
97,-0.082752,0.142115,1
98,-0.95678,0.341734,1
99,0.729517,-0.806659,1
100,-0.129197,0.472128,1
101,0.145971,-0.852413,1
102,-0.169943,-0.100867,1
103,0.31869,0.990968,1
104,0.673796,-0.538182,1
105,0.817179,0.854101,1
106,0.186444,-0.623523,1
107,0.53214,-0.219304,1
108,0.108283,0.114105,1
109,0.38363,-0.950707,1
110,0.112895,0.231929,1
111,0.697558,0.687522,1
112,0.78721,0.327726,1
113,0.533302,-0.510028,1
114,-0.760357,0.297018,1
115,-0.880193,0.256176,1
116,-0.836778,0.804875,1
117,-0.039233,-0.24181,1
118,-0.041455,0.985708,1
119,0.791567,-0.15695,1
120,0.538268,-0.170167,1
121,-0.944801,0.364802,1
122,-0.664354,-0.323996,1
123,-1.008966,0.117599,1
124,-0.586613,-0.327906,1
125,0.153774,1.114176,1
126,-0.826399,0.641861,1
127,-0.261191,1.089947,1
128,0.614613,0.863131,1
129,0.854434,-0.799484,1
130,-0.379692,0.177448,1
131,-0.084142,0.734663,1
132,-0.313214,1.140179,1
133,-0.509309,-0.954113,1
134,-0.028102,0.794123,1
135,-0.83208,-0.773619,1
136,1.062523,0.016815,1
137,-0.174417,-1.095933,1
138,0.4473,0.65745,1
139,-0.080067,0.950909,1
140,-0.741457,-0.7769,1
141,-0.6603,-0.147151,1
142,-0.233516,-1.110734,1
143,-0.734722,-0.143868,1
144,-0.021935,-0.848389,1
145,0.300297,-0.850992,1
146,-0.02433,0.774118,1
147,0.760093,-0.220243,1
148,0.482623,-0.336172,1
149,0.023048,-0.179681,1
150,0.413835,-1.001539,1
151,-0.293597,-0.237008,1
152,-1.037089,0.003575,1
153,0.209883,-0.892722,1
154,-0.668529,-0.832356,1
155,1.044223,0.178181,1
156,0.572459,-0.983493,1
157,0.724322,-0.645972,1
158,-0.106161,-0.411722,1
159,-0.939354,0.654076,1
160,0.220598,0.495859,1
161,-0.949965,-0.12399,1
162,0.331705,0.380413,1
163,-0.257851,0.980145,1
164,1.161128,0.273347,1
165,-0.98047,-0.602757,1
166,0.522778,0.40158,1
167,0.167452,-0.45982,1
168,-0.248372,-0.205675,1
169,-0.065904,0.480932,1
170,-0.056856,1.056737,1
171,-0.416361,-0.382198,1
172,-0.198184,-0.668861,1
173,0.929375,-0.546538,1
174,0.716798,-0.436879,1
175,0.919932,0.060552,1
176,0.253758,0.599888,1
177,0.377887,0.514961,1
178,0.450405,-0.226589,1
179,0.974274,0.592344,1
180,1.084732,-0.377949,1
181,0.588417,-0.901797,1
182,-0.27231,-0.098128,1
183,-0.906873,-0.505712,1
184,0.786379,-0.809734,1
185,0.310039,-1.089272,1
186,-0.169512,-0.471964,1
187,0.051843,1.041639,1
188,-0.266324,-0.032778,1
189,0.805428,0.459465,1
190,-0.074849,-0.578847,1
191,0.492618,-0.717171,1
192,-0.575714,-0.847828,1
193,-0.468064,0.355679,1
194,0.845203,0.017995,1
195,-0.414013,-0.252017,1
196,0.580861,-0.129889,1
197,0.904168,-0.568344,1
198,-0.228753,-1.057709,1
199,0.184315,-0.520138,1
200,-0.671467,0.23346,1
201,0.860747,0.302608,1
202,0.41938,0.472261,1
203,-0.861543,0.65521,1
204,0.094292,-1.037365,1
205,0.094998,0.267867,1
206,0.52617,-0.239928,1
207,0.240508,-0.584989,1
208,0.035093,-0.192279,1
209,-0.18961,-1.132889,1
210,-0.317454,-0.440472,1
211,-0.340882,0.973991,1
212,0.107715,0.942676,1
213,-0.97033,0.083667,1
214,0.81627,-0.300832,1
215,0.327581,0.887735,1
216,-0.145292,0.707898,1
217,-0.597462,0.165097,1
218,0.283308,-0.22294,1
219,0.428564,0.139253,1
220,-0.345331,0.937349,1
221,0.297707,-1.111281,1
222,-0.363196,-1.016051,1
223,0.134369,-1.116582,1
224,-0.04365,-0.48952,1
225,-0.453088,-0.580029,1
226,0.738974,0.582708,1
227,0.468282,-1.031658,1
228,0.607919,-0.531311,1
229,-0.019047,-0.628289,1
230,-0.125051,1.132601,1
231,-0.298213,-0.824835,1
232,0.291406,-0.181066,1
233,-1.118283,-0.27618,1
234,0.790701,0.289926,1
235,-0.697048,-0.172948,1
236,0.050893,1.029662,1
237,-0.420884,-0.611109,1
238,0.155531,-1.168935,1
239,-1.120877,0.288749,1
240,-0.157563,-0.657674,1
241,0.923198,-0.63082,1
242,-0.601509,-0.741845,1
243,0.001529,-0.613068,1
244,0.135863,0.949339,1
245,0.548729,-0.921445,1
246,-0.667838,0.417111,1
247,0.247657,0.847072,1
248,-0.577972,0.930447,1
249,0.357841,0.27876,1
250,-0.472585,-0.52969,1
251,0.274994,-0.951917,1
252,-0.987116,-0.594588,1
253,-0.902581,0.526362,1
254,0.533179,-0.601162,1
255,0.808961,-0.716644,1
256,0.642345,-0.268873,1
257,-0.25029,-1.089732,1
258,-0.640746,0.712114,1
259,0.428921,-0.390541,1
260,1.054576,-0.571442,1
261,-0.447872,0.359596,1
262,1.119937,-0.423194,1
263,0.7492,-0.726525,1
264,-0.085723,-1.02525,1
265,-0.060741,0.355649,1
266,0.228829,0.80683,1
267,0.089457,-0.183877,1
268,-0.163533,-0.819495,1
269,-1.009554,0.235208,1
270,0.786397,0.745312,1
