,x1,x2,Class
699,2.021623,-0.315808,2
1341,3.485873,-3.463521,3
1127,-4.78008,-1.642891,3
1622,1.579536,5.21428,3
1496,-2.674346,-3.971363,3
750,-1.433196,-1.206096,2
1111,-1.528566,4.547806,3
893,0.157232,-5.246528,3
354,-1.620287,-1.093616,2
43,0.484564,-0.434955,1
1476,3.708058,-4.171915,3
941,-4.727356,-2.847637,3
1744,-3.412527,3.291567,3
1777,4.723024,2.436242,3
1565,4.006619,1.376049,3
1149,-0.144522,3.418013,3
1661,-2.13829,3.001377,3
657,-0.402282,-1.812958,2
471,2.069769,-0.021183,2
1382,-4.106738,-2.809301,3
1705,5.133932,1.708346,3
430,0.76735,-2.06149,2
201,0.860747,0.302608,1
1669,4.422973,3.004102,3
1518,2.636348,-3.396139,3
528,-0.831973,-1.923386,2
95,0.058704,0.224547,1
1252,-1.640356,-3.062093,3
337,-0.448891,-1.969961,2
444,-2.227161,-0.620868,2
1189,-2.087553,-4.307051,3
810,-1.514353,-3.334022,3
382,2.149956,-0.601941,2
1430,-4.171646,-0.187986,3
373,2.052925,-0.808581,2
1223,4.490468,-2.119962,3
260,1.054576,-0.571442,1
1452,-2.219798,2.99205,3
276,0.937546,-0.483943,1
527,-1.864927,-0.549081,2
170,-0.056856,1.056737,1
650,1.850493,-0.572643,2
140,-0.741457,-0.7769,1
1030,0.610774,-4.078932,3
862,-1.827659,3.558264,3
1,-0.41668,0.214674,1
1773,-4.001826,-1.885708,3
1021,-4.294591,-0.664096,3
1673,3.667848,-2.597175,3
1120,-5.464538,0.990178,3
1690,-4.885498,-1.689345,3
714,0.460464,-1.869034,2
1426,4.167552,-2.23893,3
1492,-3.291375,-4.36417,3
1059,4.176053,2.020527,3
1229,-1.980816,4.346659,3
1587,-2.983614,3.350209,3
342,1.69495,-1.287279,2
1075,-3.933201,-3.513351,3
1361,0.754402,-4.948653,3
1502,-4.073571,-1.129234,3
634,-0.040762,-2.150074,2
745,1.020776,-2.007996,2
454,0.666706,-2.032796,2
1759,-2.989302,-3.024802,3
220,-0.345331,0.937349,1
1070,4.108896,-2.292351,3
1445,3.972406,-2.347585,3
998,4.312088,0.625274,3
1590,0.977454,3.796992,3
1616,-3.034616,4.601579,3
1155,1.058463,4.566184,3
1024,4.044866,-3.003364,3
571,-1.702307,-1.453143,2
1357,-1.309966,4.364363,3
808,4.224283,-0.59997,3
12,0.035121,-0.637674,1
1165,3.58495,-3.27207,3
180,1.084732,-0.377949,1
986,4.197677,-1.042659,3
202,0.41938,0.472261,1
236,0.050893,1.029662,1
1650,4.567355,-2.540516,3
1371,4.657727,-1.085643,3
739,-1.675477,-1.391447,2
818,4.340898,-0.940292,3
744,-1.935958,-0.64312,2
1542,3.835352,-0.604079,3
505,-0.578641,-2.040479,2
988,-5.500841,-0.66854,3
1272,-4.60332,-1.887701,3
804,3.993878,0.824427,3
1709,1.94182,4.151106,3
900,-2.748547,-1.97436,3
857,2.151635,2.930364,3
