,x1,x2
0,320.3125,1492.1875
5,230.46875,1820.3125
18,246.09375,2363.28125
21,261.71875,2359.375
22,269.53125,2367.1875
29,300.78125,2363.28125
32,269.53125,2382.8125
39,277.34375,2382.8125
40,261.71875,2386.71875
41,257.8125,2378.90625
42,261.71875,2375.0
45,265.625,2375.0
46,269.53125,2371.09375
50,265.625,2371.09375
52,265.625,2371.09375
56,265.625,2359.375
58,265.625,2359.375
59,261.71875,2355.46875
64,265.625,2351.5625
65,257.8125,2351.5625
68,257.8125,2363.28125
69,269.53125,2359.375
75,261.71875,2355.46875
79,261.71875,2343.75
81,261.71875,2335.9375
82,261.71875,2335.9375
84,261.71875,2328.125
99,273.4375,2308.59375
100,269.53125,2300.78125
104,273.4375,2281.25
112,3.90625,2320.3125
114,3.90625,2332.03125
117,335.9375,2339.84375
122,281.25,2144.53125
128,289.0625,2175.78125
131,320.3125,2175.78125
133,304.6875,2187.5
150,300.78125,2226.5625
151,300.78125,2234.375
153,296.875,2230.46875
156,285.15625,2230.46875
157,292.96875,2234.375
163,296.875,2253.90625
168,300.78125,2253.90625
169,289.0625,2246.09375
175,285.15625,2246.09375
176,312.5,2250.0
178,300.78125,2253.90625
179,296.875,2246.09375
185,312.5,2214.84375
187,304.6875,2210.9375
191,164.0625,2066.40625
192,316.40625,2097.65625
202,312.5,2140.625
206,324.21875,2148.4375
211,324.21875,2156.25
212,324.21875,2175.78125
215,324.21875,2171.875
217,320.3125,2175.78125
220,335.9375,2179.6875
234,320.3125,2199.21875
235,320.3125,2203.125
244,320.3125,2199.21875
252,316.40625,2199.21875
255,316.40625,2203.125
261,308.59375,2214.84375
262,324.21875,2218.75
266,320.3125,2222.65625
274,335.9375,2207.03125
275,339.84375,2191.40625
276,347.65625,2179.6875
282,164.0625,2078.125
289,351.5625,2074.21875
292,363.28125,2105.46875
294,343.75,2117.1875
295,332.03125,2132.8125
296,324.21875,2140.625
299,304.6875,2140.625
304,320.3125,2160.15625
305,324.21875,2164.0625
306,320.3125,2164.0625
309,316.40625,2156.25
313,335.9375,2160.15625
314,320.3125,2160.15625
315,332.03125,2167.96875
319,328.125,2187.5
320,332.03125,2191.40625
323,332.03125,2195.3125
324,328.125,2195.3125
330,328.125,2199.21875
338,339.84375,2195.3125
339,332.03125,2195.3125
340,339.84375,2199.21875
341,332.03125,2199.21875
344,335.9375,2203.125
350,328.125,2199.21875
352,335.9375,2207.03125
360,347.65625,2199.21875
362,375.0,2203.125
365,367.1875,2171.875
372,343.75,2117.1875
375,343.75,2125.0
377,339.84375,2140.625
379,335.9375,2144.53125
380,335.9375,2152.34375
383,343.75,2152.34375
390,335.9375,2164.0625
391,343.75,2164.0625
399,339.84375,2164.0625
402,343.75,2171.875
404,355.46875,2167.96875
405,351.5625,2175.78125
406,347.65625,2179.6875
409,359.375,2179.6875
414,359.375,2179.6875
415,363.28125,2183.59375
416,371.09375,2187.5
417,359.375,2187.5
419,371.09375,2179.6875
424,363.28125,2183.59375
430,375.0,2183.59375
431,363.28125,2183.59375
435,363.28125,2183.59375
436,363.28125,2183.59375
446,363.28125,2187.5
447,363.28125,2195.3125
450,367.1875,2210.9375
454,359.375,2187.5
458,355.46875,2195.3125
460,371.09375,2195.3125
461,382.8125,2203.125
465,382.8125,2183.59375
469,308.59375,2171.875
471,312.5,2164.0625
475,304.6875,2167.96875
477,300.78125,2179.6875
481,312.5,2183.59375
483,304.6875,2175.78125
488,328.125,2195.3125
490,316.40625,2195.3125
491,316.40625,2187.5
492,316.40625,2183.59375
495,328.125,2191.40625
499,339.84375,2187.5
501,343.75,2191.40625
507,320.3125,2191.40625
511,324.21875,2191.40625
515,339.84375,2191.40625
524,343.75,2210.9375
532,347.65625,2222.65625
536,359.375,2226.5625
540,359.375,2230.46875
547,359.375,2230.46875
548,363.28125,2230.46875
551,363.28125,2230.46875
554,363.28125,2226.5625
556,363.28125,2226.5625
559,363.28125,2226.5625
561,359.375,2230.46875
562,355.46875,2230.46875
564,359.375,2234.375
568,359.375,2234.375
573,355.46875,2214.84375
575,355.46875,2234.375
580,375.0,2214.84375
584,394.53125,2148.4375
586,2042.96875,2292.96875
587,347.65625,2320.3125
595,292.96875,2308.59375
613,292.96875,2308.59375
616,300.78125,2300.78125
619,289.0625,2296.875
622,296.875,2281.25
625,304.6875,2269.53125
627,296.875,2265.625
628,296.875,2265.625
633,300.78125,2261.71875
642,300.78125,2257.8125
646,300.78125,2261.71875
649,304.6875,2261.71875
653,296.875,2269.53125
655,300.78125,2265.625
666,285.15625,2292.96875
669,335.9375,2308.59375
671,308.59375,2300.78125
673,343.75,2300.78125
675,316.40625,2320.3125
677,2062.5,2359.375
680,277.34375,2300.78125
683,265.625,2296.875
685,292.96875,2296.875
687,304.6875,2296.875
688,296.875,2292.96875
690,292.96875,2296.875
701,289.0625,2300.78125
708,269.53125,2285.15625
714,308.59375,2300.78125
722,289.0625,2296.875
723,273.4375,2292.96875
