,x1,x2
992,769.53125,1109.375
681,750.0,1117.1875
1652,746.09375,1042.96875
1764,718.75,1109.375
1013,769.53125,1105.46875
64,695.3125,1152.34375
697,750.0,1128.90625
400,757.8125,1289.0625
260,710.9375,1117.1875
2087,718.75,1136.71875
682,750.0,1121.09375
785,789.0625,1132.8125
1196,722.65625,1035.15625
1036,769.53125,1117.1875
542,753.90625,1128.90625
769,792.96875,1121.09375
1618,703.125,1066.40625
886,773.4375,1128.90625
1401,769.53125,1105.46875
1363,726.5625,1019.53125
849,789.0625,1121.09375
633,757.8125,1101.5625
1623,781.25,1078.125
343,714.84375,1195.3125
98,699.21875,1160.15625
959,843.75,1160.15625
104,1027.34375,1500.0
1339,679.6875,1058.59375
2143,695.3125,1117.1875
2014,695.3125,1113.28125
957,789.0625,1171.875
844,789.0625,1128.90625
940,781.25,1160.15625
329,718.75,1222.65625
898,777.34375,1132.8125
1340,167.96875,917.96875
791,789.0625,1140.625
637,753.90625,1101.5625
702,753.90625,1132.8125
942,781.25,1160.15625
689,750.0,1121.09375
1865,761.71875,1121.09375
982,769.53125,1109.375
319,726.5625,1218.75
1418,781.25,1128.90625
37,726.5625,1128.90625
581,777.34375,1113.28125
1946,773.4375,1136.71875
1062,808.59375,1117.1875
1650,750.0,1046.875
247,710.9375,1156.25
1088,718.75,1078.125
1743,730.46875,1093.75
2037,687.5,1113.28125
1926,695.3125,1105.46875
1398,769.53125,1089.84375
396,750.0,1292.96875
966,777.34375,1132.8125
1783,707.03125,1132.8125
269,710.9375,1132.8125
937,781.25,1156.25
267,707.03125,1132.8125
824,785.15625,1156.25
1240,734.375,1062.5
153,710.9375,1148.4375
2009,691.40625,1101.5625
1915,722.65625,1113.28125
1037,769.53125,1117.1875
1434,769.53125,1105.46875
208,695.3125,1101.5625
1744,757.8125,1046.875
589,761.71875,1121.09375
1966,761.71875,1074.21875
1112,703.125,1046.875
1945,800.78125,1046.875
1134,718.75,1089.84375
1359,726.5625,1000.0
609,753.90625,1136.71875
1666,746.09375,1031.25
2001,691.40625,1089.84375
1071,535.15625,1105.46875
1021,777.34375,1109.375
1593,738.28125,1085.9375
1823,691.40625,1132.8125
593,761.71875,1121.09375
1705,750.0,1070.3125
1676,742.1875,1074.21875
1589,750.0,1074.21875
1880,742.1875,1109.375
1970,738.28125,1074.21875
756,789.0625,1109.375
375,746.09375,1234.375
742,789.0625,1101.5625
11,917.96875,1500.0
1905,722.65625,1113.28125
964,773.4375,1171.875
2027,695.3125,1121.09375
1408,773.4375,1117.1875
952,785.15625,1164.0625
1203,734.375,1500.0
1003,765.625,1097.65625
703,757.8125,1132.8125
901,773.4375,1132.8125
944,781.25,1156.25
1531,707.03125,1082.03125
1882,738.28125,1113.28125
712,789.0625,1144.53125
673,746.09375,1109.375
1287,742.1875,1101.5625
1411,769.53125,1121.09375
1016,777.34375,1105.46875
1750,722.65625,1085.9375
3,781.25,1101.5625
1257,746.09375,1078.125
817,785.15625,1148.4375
1727,753.90625,1085.9375
1507,695.3125,1027.34375
2007,691.40625,1097.65625
22,765.625,1117.1875
1146,718.75,1082.03125
2081,734.375,1152.34375
522,722.65625,1238.28125
1117,703.125,1050.78125
310,722.65625,1203.125
1551,710.9375,1089.84375
2056,746.09375,1144.53125
1934,699.21875,1128.90625
751,792.96875,1109.375
666,750.0,1109.375
1770,726.5625,1113.28125
1896,726.5625,1113.28125
94,695.3125,1152.34375
222,699.21875,1132.8125
1780,726.5625,1128.90625
1266,742.1875,1105.46875
102,738.28125,1156.25
1672,753.90625,1019.53125
1333,750.0,1089.84375
411,753.90625,1285.15625
1720,750.0,1093.75
1760,824.21875,1140.625
422,753.90625,1269.53125
1735,746.09375,1085.9375
1029,769.53125,1105.46875
2054,562.5,1109.375
643,750.0,1101.5625
931,781.25,1144.53125
353,730.46875,1187.5
15,765.625,1113.28125
332,726.5625,1214.84375
442,726.5625,1156.25
84,687.5,1152.34375
1679,738.28125,1078.125
910,773.4375,1140.625
433,738.28125,1242.1875
1599,714.84375,1105.46875
658,753.90625,1105.46875
1138,714.84375,1082.03125
2154,839.84375,1160.15625
2151,691.40625,1109.375
998,773.4375,1109.375
949,785.15625,1160.15625
1885,738.28125,1109.375
1947,789.0625,1066.40625
1400,769.53125,1097.65625
1904,726.5625,1113.28125
876,777.34375,1097.65625
838,851.5625,1148.4375
914,777.34375,1144.53125
1133,710.9375,1078.125
59,710.9375,1152.34375
417,753.90625,1289.0625
801,785.15625,1152.34375
183,691.40625,1050.78125
1297,746.09375,1101.5625
2020,695.3125,1121.09375
650,757.8125,1101.5625
350,726.5625,1183.59375
